GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ECIEXPRESS,edu.dosw.infrastructure.web,PasswordResetController,63,0,0,0,10,0,4,0,4,0
ECIEXPRESS,edu.dosw.infrastructure.web,UserController,29,0,0,0,5,0,3,0,3,0
ECIEXPRESS,edu.dosw.infrastructure.web,AdminController,69,0,0,0,11,0,5,0,5,0
ECIEXPRESS,edu.dosw.infrastructure.web,SellerController,86,0,0,0,15,0,7,0,7,0
ECIEXPRESS,edu.dosw.infrastructure.web,CustomerController,90,0,0,0,14,0,6,0,6,0
ECIEXPRESS,edu.dosw.infrastructure.persistence.mappers,UserMongoMapper,0,67,0,2,0,18,0,4,0,3
ECIEXPRESS,edu.dosw.infrastructure.persistence.mappers,SellerMongoMapper,0,75,0,2,0,21,0,4,0,3
ECIEXPRESS,edu.dosw.infrastructure.persistence.mappers,CustomerMongoMapper,0,70,0,2,0,19,0,4,0,3
ECIEXPRESS,edu.dosw.infrastructure.persistence.mappers,AdminMongoMapper,0,65,0,2,0,17,0,4,0,3
ECIEXPRESS,edu.dosw.infrastructure.event,PasswordResetEventPublisher.PasswordResetRequestEventData,164,31,38,0,0,5,23,9,4,9
ECIEXPRESS,edu.dosw.infrastructure.event,PasswordResetEventPublisher.PasswordResetCompletedEventData,151,31,34,0,0,5,21,9,4,9
ECIEXPRESS,edu.dosw.infrastructure.event,EventWrapper,198,38,46,0,0,6,27,11,4,11
ECIEXPRESS,edu.dosw.infrastructure.event,PasswordResetEventPublisher.PasswordResetVerifiedEventData,98,17,22,0,0,3,15,5,4,5
ECIEXPRESS,edu.dosw.infrastructure.event,PasswordResetEventPublisher,0,186,0,0,0,51,0,5,0,5
ECIEXPRESS,edu.dosw.domain.model.ValueObject,UserId,0,17,0,4,0,4,0,3,0,1
ECIEXPRESS,edu.dosw.domain.model.ValueObject,VerificationCode,0,75,1,15,0,11,1,11,0,4
ECIEXPRESS,edu.dosw.domain.model.ValueObject,IdentityDocument,0,17,0,4,0,4,0,3,0,1
ECIEXPRESS,edu.dosw.domain.model.ValueObject,FullName,0,17,0,4,0,4,0,3,0,1
ECIEXPRESS,edu.dosw.domain.model.ValueObject,Email,0,17,0,4,0,4,0,3,0,1
ECIEXPRESS,edu.dosw.domain.model.ValueObject,PasswordHash,0,17,0,4,0,4,0,3,0,1
ECIEXPRESS,edu.dosw.infrastructure.web.mappers,UserWebMapper,0,21,0,0,0,7,0,2,0,2
ECIEXPRESS,edu.dosw.infrastructure.web.mappers,SellerWebMapper,0,68,0,0,0,26,0,5,0,5
ECIEXPRESS,edu.dosw.infrastructure.web.mappers,CustomerWebMapper,0,60,0,0,0,22,0,5,0,5
ECIEXPRESS,edu.dosw.infrastructure.web.mappers,AdminWebMapper,0,52,0,0,0,18,0,5,0,5
ECIEXPRESS,edu.dosw.application.services.SellerServices,CreateSellerService,0,84,0,2,0,14,0,3,0,2
ECIEXPRESS,edu.dosw.application.services.SellerServices,DeleteSellerService,0,31,0,0,0,6,0,3,0,3
ECIEXPRESS,edu.dosw.application.services.SellerServices,UpdateSellerService,0,123,0,16,0,21,0,11,0,3
ECIEXPRESS,edu.dosw.application.services.SellerServices,GetAllSellersService,0,15,0,0,0,3,0,3,0,3
ECIEXPRESS,edu.dosw.application.services.SellerServices,GetSellerService,0,27,0,0,0,4,0,3,0,3
ECIEXPRESS,edu.dosw.application.services.AdminServices,GetAdminService,0,27,0,0,0,4,0,3,0,3
ECIEXPRESS,edu.dosw.application.services.AdminServices,UpdateAdminService,0,107,0,12,0,19,0,9,0,3
ECIEXPRESS,edu.dosw.application.services.AdminServices,DeleteAdminService,0,31,0,0,0,6,0,3,0,3
ECIEXPRESS,edu.dosw.application.services.AdminServices,CreateAdminService,0,80,0,2,0,12,0,3,0,2
ECIEXPRESS,edu.dosw.application.services.CustomerServices,UpdateCustomerService,0,115,0,14,0,20,0,10,0,3
ECIEXPRESS,edu.dosw.application.services.CustomerServices,GetCustomerService,0,27,0,0,0,4,0,3,0,3
ECIEXPRESS,edu.dosw.application.services.CustomerServices,DeleteCustomerService,0,31,0,0,0,6,0,3,0,3
ECIEXPRESS,edu.dosw.application.services.CustomerServices,CreateCustomerService,0,82,0,2,0,13,0,3,0,2
ECIEXPRESS,edu.dosw.infrastructure.persistence,MongoSellerRepository,141,0,0,0,24,0,8,0,8,0
ECIEXPRESS,edu.dosw.infrastructure.persistence,MongoCustomerRepository,73,0,0,0,12,0,5,0,5,0
ECIEXPRESS,edu.dosw.infrastructure.persistence,RedisVerificationCodeRepository,164,0,2,0,42,0,7,0,6,0
ECIEXPRESS,edu.dosw.infrastructure.persistence,MongoAdminRepository,113,0,0,0,19,0,7,0,7,0
ECIEXPRESS,edu.dosw.infrastructure.persistence,MongoUserRepository,100,0,0,0,15,0,6,0,6,0
ECIEXPRESS,edu.dosw,Application,8,0,0,0,3,0,2,0,2,0
ECIEXPRESS,edu.dosw.application.services.UserServices,GetUserCredentialsService,0,61,0,2,0,9,0,6,0,5
ECIEXPRESS,edu.dosw.domain.model,Seller,0,21,0,0,0,6,0,3,0,3
ECIEXPRESS,edu.dosw.domain.model,Customer,0,15,0,0,0,4,0,2,0,2
ECIEXPRESS,edu.dosw.domain.model,User,0,49,0,0,0,18,0,9,0,9
ECIEXPRESS,edu.dosw.domain.model,Admin,0,9,0,0,0,2,0,1,0,1
ECIEXPRESS,edu.dosw.application.services,UpdatePasswordService,0,46,0,0,0,7,0,3,0,3
ECIEXPRESS,edu.dosw.application.services,PasswordResetService,0,172,0,4,0,35,0,12,0,10
